Unnamed: 0,age,gender,region_category,membership_category,joining_date,joined_through_referral,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
0,18,2,1,1,2017-08-17,2,3,3,17,300.63,53005.25,17.0,781.75,1,1,2,2,5,0
1,32,2,2,5,2017-08-28,3,1,3,16,306.34,12838.38,10.0,686.8821987429081,1,2,1,3,6,0
2,44,2,3,2,2016-11-11,1,1,3,14,516.16,21027.0,22.0,500.69,2,1,1,4,4,1
3,37,1,2,2,2016-10-29,1,1,3,11,53.27,25239.56,6.0,567.66,2,1,1,5,4,1
4,31,2,2,2,2017-09-12,2,2,3,20,113.13,24483.66,16.0,663.06,2,1,1,3,4,1
5,13,1,2,3,2016-01-08,2,3,3,23,433.62,13884.77,24.0,722.27,1,2,1,5,1,0
6,21,1,3,3,2015-03-19,1,1,3,10,55.38,8982.5,28.0,756.21,1,2,1,4,1,0
7,42,1,3,2,2016-07-12,3,2,3,19,429.11,44554.82,24.0,568.08,2,1,1,5,3,1
8,44,1,1,4,2016-12-14,2,2,3,15,191.07,18362.31,20.0,686.8821987429081,1,2,1,4,2,0
9,45,2,3,2,2016-11-30,2,3,3,10,97.31,19244.16,28.0,706.23,2,1,1,1,2,1
10,25,2,1,5,2016-05-22,1,2,3,14,570.23,35119.93,8.0,699.7,1,1,2,2,3,1
11,60,1,2,3,2016-01-13,2,2,3,14,55.53,41672.02,33.02434314076341,798.12,1,2,2,2,8,0
12,11,1,3,2,2015-01-31,2,2,3,13,41.09,44007.18,18.0,608.26,1,2,1,5,2,1
13,34,1,2,5,2016-12-07,1,2,3,10,89.76,21318.19,6.0,686.8821987429081,2,1,2,2,3,1
14,40,1,2,5,2016-11-19,2,3,3,20,100.59,14842.62,26.0,686.8821987429081,2,1,2,2,4,0
15,16,2,3,5,2017-07-09,3,2,3,-999,30.14,18792.31,7.0,141.5132013118415,1,2,1,5,8,1
16,57,2,2,2,2016-01-27,2,3,3,5,333.34,47241.32,8.0,686.8821987429081,1,1,1,4,8,1
17,11,1,3,4,2017-01-02,1,3,3,12,275.13,29072.86,26.0,733.97,1,2,2,2,2,0
18,39,1,3,2,2017-11-01,2,2,3,9,241.74,33170.16,6.0,551.11,1,2,1,1,1,1
19,45,1,2,5,2016-02-03,2,3,3,14,31.15,66982.61,8.0,164.80076897738957,1,2,1,5,5,0
